ID,dataset,sample,NAT_source,ref_source,WGA_source,priority,run,barcode,assembly_contigs,assembly_coverage,ONT_reads,tax_id,scientific_name,lineage,lineage_save,strain,sample_accession,run_accession,study_accession,experiment_accession,submission_accession,study_title,project_name,sample_title,sample_alias,sample_description,isolate,library_construction_protocol,library_layout,library_name,instrument_model,submitted_bytes,submitted_ftp,Unnamed: 0,ref_source_origin
sepsis/K-E0289,sepsis,K-E0289,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01152_Min106_RBK110/1152_22_3/20221108_1705_X4_FAU82490_288692d8/fast5_pass/barcode91,cebitec:/prj/kinbiotics-seq/samples/K-E0289/medaka/consensus.fasta,,4,Run01152_Min106_RBK110,91,1.0,32.0,36193.0,29385.0,Staphylococcus saprophyticus,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0846,sepsis,K-M0846,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode45,cebitec:/prj/kinbiotics-seq/samples/K-M0846/medaka/consensus.fasta,,4,Run01151_Min106_RBK110,45,5.0,105.0,342448.0,821.0,Phocaeicola vulgatus,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0259,sepsis,K-E0259,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01152_Min106_RBK110/1152_22_3/20221108_1705_X4_FAU82490_288692d8/fast5_pass/barcode65,cebitec:/prj/kinbiotics-seq/samples/K-E0259/medaka/consensus.fasta,,4,Run01152_Min106_RBK110,65,6.0,63.0,103953.0,33033.0,Parvimonas micra,Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0131,sepsis,K-M0131,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01006_Min106_RBK96/1152_0006/20220429_1528_X3_FAT28352_6ee61cba/fast5_pass/barcode53,cebitec:/prj/kinbiotics-seq/samples/K-M0131/medaka/consensus.fasta,,4,Run01006_Min106_RBK96,53,1.0,202.0,325369.0,1280.0,Staphylococcus aureus,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0149,sepsis,K-E0149,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01049_Min106_RBK110/1152_0012/20220616_1337_X1_FAS36837_4bdf68e0/fast5_pass/barcode17,cebitec:/prj/kinbiotics-seq/samples/K-E0149/medaka/consensus.fasta,,4,Run01049_Min106_RBK110,17,2.0,308.0,368533.0,1318.0,Streptococcus parasanguinis,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0140,sepsis,K-E0140,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01049_Min106_RBK110/1152_0012/20220616_1337_X1_FAS36837_4bdf68e0/fast5_pass/barcode10,cebitec:/prj/kinbiotics-seq/samples/K-E0140/medaka/consensus.fasta,,4,Run01049_Min106_RBK110,10,1.0,118.0,283985.0,33028.0,Staphylococcus saccharolyticus,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0145,sepsis,K-E0145,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01049_Min106_RBK110/1152_0012/20220616_1337_X1_FAS36837_4bdf68e0/fast5_pass/barcode13,cebitec:/prj/kinbiotics-seq/samples/K-E0145/medaka/consensus.fasta,,4,Run01049_Min106_RBK110,13,15.0,11.0,15522.0,1270.0,Micrococcus luteus,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0146,sepsis,K-E0146,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01049_Min106_RBK110/1152_0012/20220616_1337_X1_FAS36837_4bdf68e0/fast5_pass/barcode14,cebitec:/prj/kinbiotics-seq/samples/K-E0146/medaka/consensus.fasta,,4,Run01049_Min106_RBK110,14,81.0,5.0,13670.0,472694.0,Pantoea brenneri,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0086,sepsis,K-M0086,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01005_MIN106_RBK96/1152_0006/20220429_1527_X2_FAT27402_9a6a39b2/fast5_pass/barcode08,cebitec:/prj/kinbiotics-seq/samples/K-M0086/medaka/consensus.fasta,,4,Run01005_MIN106_RBK96,08,8.0,21.0,38403.0,1304.0,Streptococcus salivarius,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-L0201,sepsis,K-L0201,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00977_Min106_RBK110/1152_Kinbiotics0004_2/20220405_1309_X2_FAS48244_55897f49/fast5_pass/barcode37,cebitec:/prj/kinbiotics-seq/samples/K-L0201/medaka/consensus.fasta,,4,Run00977_Min106_RBK110,37,1.0,73.0,102265.0,2703793.0,Serratia bockelmannii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia,,,,,,,,,,,,,,,,,,,,
sepsis/K-L0208,sepsis,K-L0208,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00977_Min106_RBK110/1152_Kinbiotics0004_2/20220405_1309_X2_FAS48244_55897f49/fast5_pass/barcode44,cebitec:/prj/kinbiotics-seq/samples/K-L0208/medaka/consensus.fasta,,4,Run00977_Min106_RBK110,44,8.0,61.0,65350.0,470.0,Acinetobacter baumannii,Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,,,,,
sepsis/K-L0216,sepsis,K-L0216,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00977_Min106_RBK110/1152_Kinbiotics0004_2/20220405_1309_X2_FAS48244_55897f49/fast5_pass/barcode52,cebitec:/prj/kinbiotics-seq/samples/K-L0216/medaka/consensus.fasta,,4,Run00977_Min106_RBK110,52,5.0,73.0,92308.0,1812935.0,Enterobacter roggenkampii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0163,sepsis,K-M0163,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01007_Min106_RBK96/1152_0006/20220429_1323_X4_FAT28676_d461a728/fast5_pass/barcode85,cebitec:/prj/kinbiotics-seq/samples/K-M0163/medaka/consensus.fasta,,4,Run01007_Min106_RBK96,85,3.0,98.0,90445.0,487.0,Neisseria meningitidis,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0161,sepsis,K-E0161,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01049_Min106_RBK110/1152_0012/20220616_1337_X1_FAS36837_4bdf68e0/fast5_pass/barcode29,cebitec:/prj/kinbiotics-seq/samples/K-E0161/medaka/consensus.fasta,,4,Run01049_Min106_RBK110,29,27.0,81.0,302376.0,1134687.0,Klebsiella michiganensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0168,sepsis,K-E0168,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01050_Min106_RBK110/1152_0012_2/20220616_1339_X2_FAS36831_cb355a4f/fast5_pass/barcode35,cebitec:/prj/kinbiotics-seq/samples/K-E0168/medaka/consensus.fasta,,4,Run01050_Min106_RBK110,35,1.0,246.0,175371.0,1328.0,Streptococcus anginosus,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus group,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0766,sepsis,K-M0766,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01148_Min106_RBK110/1152_21_2/20221103_1723_X2_FAS69564_81777816/fast5_pass/barcode59,cebitec:/prj/kinbiotics-seq/samples/K-M0766/medaka/consensus.fasta,,4,Run01148_Min106_RBK110,59,97.0,9.0,17459.0,1852387.0,Streptococcus timonensis,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0435,sepsis,K-E0435,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run001175_MIN106_RBK11096/1152_24_1/20221215_1554_X3_FAV40612_8a706507/fast5_pass/barcode15,cebitec:/prj/kinbiotics-seq/samples/K-E0435/medaka/consensus.fasta,,4,Run001175_MIN106_RBK11096,15,1.0,428.0,252107.0,1334.0,Streptococcus dysgalactiae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0059,sepsis,K-M0059,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00984_Min106_RBK110/1152_Kinbiotics_0005/20220408_0758_X3_FAS48244_6cef4517/fast5_pass/barcode27,cebitec:/prj/kinbiotics-seq/samples/K-M0059/medaka/consensus.fasta,,4,Run00984_Min106_RBK110,27,1.0,26.0,34517.0,656.0,Aeromonas allosaccharophila,Bacteria; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas,,,,,,,,,,,,,,,,,,,,
sepsis/K-E0016,sepsis,K-E0016,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00978_Min106_RBK110/1152_Kinbiotics0004_3/20220405_1311_X3_FAS48142_844a5357/fast5_pass/barcode62,cebitec:/prj/kinbiotics-seq/samples/K-E0016/medaka/consensus.fasta,,4,Run00978_Min106_RBK110,62,1.0,181.0,149444.0,2490633.0,Streptococcus periodonticum,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0751,sepsis,K-M0751,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01148_Min106_RBK110/1152_21_2/20221103_1723_X2_FAS69564_81777816/fast5_pass/barcode44,cebitec:/prj/kinbiotics-seq/samples/K-M0751/medaka/consensus.fasta,,4,Run01148_Min106_RBK110,44,1.0,56.0,137528.0,291644.0,Bacteroides salyersiae,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0752,sepsis,K-M0752,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01148_Min106_RBK110/1152_21_2/20221103_1723_X2_FAS69564_81777816/fast5_pass/barcode45,cebitec:/prj/kinbiotics-seq/samples/K-M0752/medaka/consensus.fasta,,4,Run01148_Min106_RBK110,45,5.0,79.0,230312.0,823.0,Parabacteroides distasonis,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0756,sepsis,K-M0756,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01148_Min106_RBK110/1152_21_2/20221103_1723_X2_FAS69564_81777816/fast5_pass/barcode49,cebitec:/prj/kinbiotics-seq/samples/K-M0756/medaka/consensus.fasta,,4,Run01148_Min106_RBK110,49,2.0,50.0,77928.0,1282.0,Staphylococcus epidermidis,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0765,sepsis,K-M0765,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01148_Min106_RBK110/1152_21_2/20221103_1723_X2_FAS69564_81777816/fast5_pass/barcode58,cebitec:/prj/kinbiotics-seq/samples/K-M0765/medaka/consensus.fasta,,4,Run01148_Min106_RBK110,58,61.0,6.0,4512.0,29380.0,Staphylococcus caprae,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0700,sepsis,K-M0700,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01143_Min106_RBK110/1152_20_3/20221020_1625_X3_FAU82573_cc661459/fast5_pass/barcode90,cebitec:/prj/kinbiotics-seq/samples/K-M0700/medaka/consensus.fasta,,4,Run01143_Min106_RBK110,90,371.0,16.0,36297.0,1396.0,Bacillus cereus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0809,sepsis,K-M0809,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01150_Min106_RBK110/1152_22/20221108_1702_X1_FAU90098_b2772436/fast5_pass/barcode08,cebitec:/prj/kinbiotics-seq/samples/K-M0809/medaka/consensus.fasta,,4,Run01150_Min106_RBK110,08,140.0,6.0,11138.0,1785128.0,Acinetobacter lactucae,Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0820,sepsis,K-M0820,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01150_Min106_RBK110/1152_22/20221108_1702_X1_FAU90098_b2772436/fast5_pass/barcode19,cebitec:/prj/kinbiotics-seq/samples/K-M0820/medaka/consensus.fasta,,4,Run01150_Min106_RBK110,19,10.0,27.0,73959.0,33945.0,Enterococcus avium,Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0828,sepsis,K-M0828,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01150_Min106_RBK110/1152_22/20221108_1702_X1_FAU90098_b2772436/fast5_pass/barcode27,cebitec:/prj/kinbiotics-seq/samples/K-M0828/medaka/consensus.fasta,,4,Run01150_Min106_RBK110,27,141.0,8.0,10533.0,1290.0,Staphylococcus hominis,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0786,sepsis,K-M0786,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01149_Min106_RBK110/1152_21_3/20221103_1725_X3_FAS66717_91dda822/fast5_pass/barcode79,cebitec:/prj/kinbiotics-seq/samples/K-M0786/medaka/consensus.fasta,,4,Run01149_Min106_RBK110,79,5.0,28.0,77235.0,546.0,Citrobacter freundii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0797,sepsis,K-M0797,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01149_Min106_RBK110/1152_21_3/20221103_1725_X3_FAS66717_91dda822/fast5_pass/barcode90,cebitec:/prj/kinbiotics-seq/samples/K-M0797/medaka/consensus.fasta,,4,Run01149_Min106_RBK110,90,28.0,12.0,21338.0,2582914.0,Alcaligenes ammonioxydans,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Alcaligenes,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Alcaligenes,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0845,sepsis,K-M0845,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode44,cebitec:/prj/kinbiotics-seq/samples/K-M0845/medaka/consensus.fasta,,4,Run01151_Min106_RBK110,44,2.0,84.0,128421.0,28125.0,Prevotella bivia,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella,,,,,,,,,,,,,,,,,,,,
sepsis/K-M0847,sepsis,K-M0847,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode46,cebitec:/prj/kinbiotics-seq/samples/K-M0847/medaka/consensus.fasta,,4,Run01151_Min106_RBK110,46,14.0,47.0,221061.0,28116.0,Bacteroides ovatus,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,,,,,,,,,,,,,,,,,,,,
